trip_id,start_time,end_time,headway_secs,exact_times
TRIP_511e5b1b-e6a2-52f6-9c65-c8588299f583_476d8758-69e0-4d81-aa78-097e4a571e8d,07:00:00,21:00:00,40,0
TRIP_84c89a53-1f66-5dd2-94d5-25c2e3eee202_cdef39a5-3124-42ce-8075-47dfac535e1b,06:30:00,22:30:00,40,0
TRIP_84c89a53-1f66-5dd2-94d5-25c2e3eee202_33df0776-430d-41c3-827c-d6e92803e631,06:30:00,22:30:00,40,0
TRIP_84c89a53-1f66-5dd2-94d5-25c2e3eee202_c9a7cb60-932c-48e3-8eda-3d7f3d74bc91,06:30:00,22:30:00,40,0
TRIP_84c89a53-1f66-5dd2-94d5-25c2e3eee202_bb58aa4d-a954-4cfc-bb23-a7a82e05fc1a,06:30:00,22:30:00,40,0
TRIP_84c89a53-1f66-5dd2-94d5-25c2e3eee202_1be9d25b-79a7-4b00-9b2e-282f833f74bf,06:30:00,22:30:00,40,0
TRIP_84c89a53-1f66-5dd2-94d5-25c2e3eee202_a57c3201-0a2e-4361-8c90-bb08f834a10e,06:30:00,22:30:00,40,0
TRIP_84c89a53-1f66-5dd2-94d5-25c2e3eee202_14c3670b-de2e-406d-a918-80d74cb8e758,07:00:00,21:00:00,40,0
TRIP_56dde7c5-2a33-54eb-88aa-ed9759d5c8a4_ea538c0e-4733-4887-b7a4-d3c2c2d88165,06:30:00,22:30:00,40,0
TRIP_56dde7c5-2a33-54eb-88aa-ed9759d5c8a4_a3c8d3c3-bed1-45fc-af25-fe12104084c8,06:30:00,22:30:00,40,0
TRIP_56dde7c5-2a33-54eb-88aa-ed9759d5c8a4_22d90316-d4c2-47af-b8e1-84e8e9ba2858,06:30:00,22:30:00,40,0
TRIP_56dde7c5-2a33-54eb-88aa-ed9759d5c8a4_b775c9ba-718e-491a-a79a-bad485e91d13,06:30:00,22:30:00,40,0
TRIP_56dde7c5-2a33-54eb-88aa-ed9759d5c8a4_d0b2bc40-a8ba-41ed-8f4f-4858a5388471,06:30:00,22:30:00,40,0
TRIP_56dde7c5-2a33-54eb-88aa-ed9759d5c8a4_e3d461e5-20e0-4725-9e13-7058ac324536,06:30:00,22:30:00,40,0
TRIP_56dde7c5-2a33-54eb-88aa-ed9759d5c8a4_e0f7ebc4-0722-412e-ba6f-87f7a89eff84,07:00:00,21:00:00,40,0
TRIP_655f2036-1f06-54d0-98b2-d0c9f5ac741c_82e98534-d710-4f10-ad32-09a138e417f0,06:30:00,22:30:00,40,0
TRIP_655f2036-1f06-54d0-98b2-d0c9f5ac741c_2026f112-ea2a-46ee-80ee-67997c31211d,06:30:00,22:30:00,40,0
TRIP_655f2036-1f06-54d0-98b2-d0c9f5ac741c_99a13696-a1c1-4ac8-887c-c64e18a979d5,06:30:00,22:30:00,40,0
TRIP_655f2036-1f06-54d0-98b2-d0c9f5ac741c_875490c7-6aa1-4c2b-9c8a-0753d4cd7b34,06:30:00,22:30:00,40,0
TRIP_655f2036-1f06-54d0-98b2-d0c9f5ac741c_a6b633a9-ff28-4110-98d0-a5cd2150d186,06:30:00,22:30:00,40,0
TRIP_655f2036-1f06-54d0-98b2-d0c9f5ac741c_cb81971b-2521-4fb5-aeba-c55af5bfb837,06:30:00,22:30:00,40,0
TRIP_655f2036-1f06-54d0-98b2-d0c9f5ac741c_412e665a-82a3-45fb-9eb4-2efe8b83ee4a,07:00:00,21:00:00,40,0
TRIP_2ec8342e-c96f-5948-887f-a44d5c39f6d9_15e14cd9-8af0-420f-8632-8ee301c7cf88,06:30:00,22:30:00,40,0
TRIP_2ec8342e-c96f-5948-887f-a44d5c39f6d9_c13b3f60-09c9-4033-8017-a883390ed844,06:30:00,22:30:00,40,0
TRIP_2ec8342e-c96f-5948-887f-a44d5c39f6d9_7622a661-1d45-4f14-bcd1-ad1f40141453,06:30:00,22:30:00,40,0
TRIP_2ec8342e-c96f-5948-887f-a44d5c39f6d9_56e25818-327d-4181-8cb3-198036c9c67a,06:30:00,22:30:00,40,0
TRIP_2ec8342e-c96f-5948-887f-a44d5c39f6d9_c6035818-bb6e-44bc-80e4-6be00134e1f1,06:30:00,22:30:00,40,0
TRIP_2ec8342e-c96f-5948-887f-a44d5c39f6d9_c9a6ec81-ccd1-4867-9fbe-dee1720fcd46,06:30:00,22:30:00,40,0
