route_id,service_id,trip_id,trip_headsign,direction_id,shape_id
ROUTE_TELEFERICO_AZUL,SERVICE_5563aa9c-f469-495c-96ea-8cfddd5860c8,TRIP_3d963aec-7d33-5da5-9db3-c59acca89aa0_5563aa9c-f469-495c-96ea-8cfddd5860c8,Línea Azul - Ida,0,SHAPE_3d963aec-7d33-5da5-9db3-c59acca89aa0
ROUTE_TELEFERICO_AZUL,SERVICE_919b4e10-d06b-4969-a312-601086bd1589,TRIP_3d963aec-7d33-5da5-9db3-c59acca89aa0_919b4e10-d06b-4969-a312-601086bd1589,Línea Azul - Ida,0,SHAPE_3d963aec-7d33-5da5-9db3-c59acca89aa0
ROUTE_TELEFERICO_AZUL,SERVICE_ee6d8c5c-89a4-4830-9ba4-82d6ddcc9a7a,TRIP_3d963aec-7d33-5da5-9db3-c59acca89aa0_ee6d8c5c-89a4-4830-9ba4-82d6ddcc9a7a,Línea Azul - Ida,0,SHAPE_3d963aec-7d33-5da5-9db3-c59acca89aa0
ROUTE_TELEFERICO_AZUL,SERVICE_4964ad3c-4c10-4cba-80b4-2203f2878f5b,TRIP_3d963aec-7d33-5da5-9db3-c59acca89aa0_4964ad3c-4c10-4cba-80b4-2203f2878f5b,Línea Azul - Ida,0,SHAPE_3d963aec-7d33-5da5-9db3-c59acca89aa0
ROUTE_TELEFERICO_AZUL,SERVICE_641d2fc5-97c2-4f73-b689-d523d726f857,TRIP_3d963aec-7d33-5da5-9db3-c59acca89aa0_641d2fc5-97c2-4f73-b689-d523d726f857,Línea Azul - Ida,0,SHAPE_3d963aec-7d33-5da5-9db3-c59acca89aa0
ROUTE_TELEFERICO_AZUL,SERVICE_ac528c27-28fa-458c-8816-850a8e7d4da4,TRIP_0d1de736-29d4-589e-a172-c58cb4aee364_ac528c27-28fa-458c-8816-850a8e7d4da4,Línea Azul - Vuelta,1,SHAPE_0d1de736-29d4-589e-a172-c58cb4aee364
ROUTE_TELEFERICO_AZUL,SERVICE_d8535cc9-f518-4592-aaa0-46099a71babc,TRIP_0d1de736-29d4-589e-a172-c58cb4aee364_d8535cc9-f518-4592-aaa0-46099a71babc,Línea Azul - Vuelta,1,SHAPE_0d1de736-29d4-589e-a172-c58cb4aee364
ROUTE_TELEFERICO_AZUL,SERVICE_d140770e-d5f5-4b07-abbf-e5832c907f87,TRIP_0d1de736-29d4-589e-a172-c58cb4aee364_d140770e-d5f5-4b07-abbf-e5832c907f87,Línea Azul - Vuelta,1,SHAPE_0d1de736-29d4-589e-a172-c58cb4aee364
ROUTE_TELEFERICO_AZUL,SERVICE_b1f6d631-b8da-4209-a3f6-d0f66de33158,TRIP_0d1de736-29d4-589e-a172-c58cb4aee364_b1f6d631-b8da-4209-a3f6-d0f66de33158,Línea Azul - Vuelta,1,SHAPE_0d1de736-29d4-589e-a172-c58cb4aee364
ROUTE_TELEFERICO_AZUL,SERVICE_2f92aba6-a0b9-4c32-bf7f-ad4e53e7c493,TRIP_0d1de736-29d4-589e-a172-c58cb4aee364_2f92aba6-a0b9-4c32-bf7f-ad4e53e7c493,Línea Azul - Vuelta,1,SHAPE_0d1de736-29d4-589e-a172-c58cb4aee364
ROUTE_TELEFERICO_AZUL,SERVICE_ac4f2b52-efb6-4fed-b286-7d6abf0db2bc,TRIP_0d1de736-29d4-589e-a172-c58cb4aee364_ac4f2b52-efb6-4fed-b286-7d6abf0db2bc,Línea Azul - Vuelta,1,SHAPE_0d1de736-29d4-589e-a172-c58cb4aee364
ROUTE_TELEFERICO_AZUL,SERVICE_6763c69b-ad02-4187-aac4-f2e3bb77adcc,TRIP_0d1de736-29d4-589e-a172-c58cb4aee364_6763c69b-ad02-4187-aac4-f2e3bb77adcc,Línea Azul - Vuelta,1,SHAPE_0d1de736-29d4-589e-a172-c58cb4aee364
ROUTE_TELEFERICO_BLANCA,SERVICE_8c863bd3-fc6c-45a5-a701-1d2a75ce43c9,TRIP_a9a7c8fb-17f2-52b7-8782-b8bb939cf05a_8c863bd3-fc6c-45a5-a701-1d2a75ce43c9,Línea Blanca - Ida,0,SHAPE_a9a7c8fb-17f2-52b7-8782-b8bb939cf05a
ROUTE_TELEFERICO_BLANCA,SERVICE_d0ef9338-008c-4c6c-a165-c56f7951432b,TRIP_a9a7c8fb-17f2-52b7-8782-b8bb939cf05a_d0ef9338-008c-4c6c-a165-c56f7951432b,Línea Blanca - Ida,0,SHAPE_a9a7c8fb-17f2-52b7-8782-b8bb939cf05a
ROUTE_TELEFERICO_BLANCA,SERVICE_2144a39c-7c27-4155-9819-16cc6258904c,TRIP_a9a7c8fb-17f2-52b7-8782-b8bb939cf05a_2144a39c-7c27-4155-9819-16cc6258904c,Línea Blanca - Ida,0,SHAPE_a9a7c8fb-17f2-52b7-8782-b8bb939cf05a
ROUTE_TELEFERICO_BLANCA,SERVICE_4659c69b-fee6-46a2-8a68-e43fefcaa6f4,TRIP_a9a7c8fb-17f2-52b7-8782-b8bb939cf05a_4659c69b-fee6-46a2-8a68-e43fefcaa6f4,Línea Blanca - Ida,0,SHAPE_a9a7c8fb-17f2-52b7-8782-b8bb939cf05a
ROUTE_TELEFERICO_BLANCA,SERVICE_cad76c2f-2cfe-44d6-9c15-63cc6c67a4a9,TRIP_a9a7c8fb-17f2-52b7-8782-b8bb939cf05a_cad76c2f-2cfe-44d6-9c15-63cc6c67a4a9,Línea Blanca - Ida,0,SHAPE_a9a7c8fb-17f2-52b7-8782-b8bb939cf05a
ROUTE_TELEFERICO_BLANCA,SERVICE_1435a156-a240-45d5-bd51-88dbe0b03a85,TRIP_a9a7c8fb-17f2-52b7-8782-b8bb939cf05a_1435a156-a240-45d5-bd51-88dbe0b03a85,Línea Blanca - Ida,0,SHAPE_a9a7c8fb-17f2-52b7-8782-b8bb939cf05a
ROUTE_TELEFERICO_BLANCA,SERVICE_b12cfb70-fe25-4a91-b0e0-b244986a545a,TRIP_a9a7c8fb-17f2-52b7-8782-b8bb939cf05a_b12cfb70-fe25-4a91-b0e0-b244986a545a,Línea Blanca - Ida,0,SHAPE_a9a7c8fb-17f2-52b7-8782-b8bb939cf05a
ROUTE_TELEFERICO_BLANCA,SERVICE_6549bb73-f14d-40b0-bd49-78b86353f0ef,TRIP_511e5b1b-e6a2-52f6-9c65-c8588299f583_6549bb73-f14d-40b0-bd49-78b86353f0ef,Línea Blanca - Vuelta,1,SHAPE_511e5b1b-e6a2-52f6-9c65-c8588299f583
ROUTE_TELEFERICO_BLANCA,SERVICE_a3b18719-a149-403b-acf0-695ec9230505,TRIP_511e5b1b-e6a2-52f6-9c65-c8588299f583_a3b18719-a149-403b-acf0-695ec9230505,Línea Blanca - Vuelta,1,SHAPE_511e5b1b-e6a2-52f6-9c65-c8588299f583
ROUTE_TELEFERICO_BLANCA,SERVICE_dd8805b6-6728-4299-9ee1-10d7671b1746,TRIP_511e5b1b-e6a2-52f6-9c65-c8588299f583_dd8805b6-6728-4299-9ee1-10d7671b1746,Línea Blanca - Vuelta,1,SHAPE_511e5b1b-e6a2-52f6-9c65-c8588299f583
ROUTE_TELEFERICO_BLANCA,SERVICE_e967c040-ac63-4dc2-acdc-89195f01c43c,TRIP_511e5b1b-e6a2-52f6-9c65-c8588299f583_e967c040-ac63-4dc2-acdc-89195f01c43c,Línea Blanca - Vuelta,1,SHAPE_511e5b1b-e6a2-52f6-9c65-c8588299f583
ROUTE_TELEFERICO_BLANCA,SERVICE_cbfe11ec-f80a-4059-b506-f717c6096825,TRIP_511e5b1b-e6a2-52f6-9c65-c8588299f583_cbfe11ec-f80a-4059-b506-f717c6096825,Línea Blanca - Vuelta,1,SHAPE_511e5b1b-e6a2-52f6-9c65-c8588299f583
ROUTE_TELEFERICO_BLANCA,SERVICE_e50a64ca-4fb4-4402-8b82-39309448f5ff,TRIP_511e5b1b-e6a2-52f6-9c65-c8588299f583_e50a64ca-4fb4-4402-8b82-39309448f5ff,Línea Blanca - Vuelta,1,SHAPE_511e5b1b-e6a2-52f6-9c65-c8588299f583
ROUTE_TELEFERICO_BLANCA,SERVICE_476d8758-69e0-4d81-aa78-097e4a571e8d,TRIP_511e5b1b-e6a2-52f6-9c65-c8588299f583_476d8758-69e0-4d81-aa78-097e4a571e8d,Línea Blanca - Vuelta,1,SHAPE_511e5b1b-e6a2-52f6-9c65-c8588299f583
ROUTE_TELEFERICO_CAFE,SERVICE_cdef39a5-3124-42ce-8075-47dfac535e1b,TRIP_84c89a53-1f66-5dd2-94d5-25c2e3eee202_cdef39a5-3124-42ce-8075-47dfac535e1b,Línea Café - Ida,0,SHAPE_84c89a53-1f66-5dd2-94d5-25c2e3eee202
ROUTE_TELEFERICO_CAFE,SERVICE_33df0776-430d-41c3-827c-d6e92803e631,TRIP_84c89a53-1f66-5dd2-94d5-25c2e3eee202_33df0776-430d-41c3-827c-d6e92803e631,Línea Café - Ida,0,SHAPE_84c89a53-1f66-5dd2-94d5-25c2e3eee202
ROUTE_TELEFERICO_CAFE,SERVICE_c9a7cb60-932c-48e3-8eda-3d7f3d74bc91,TRIP_84c89a53-1f66-5dd2-94d5-25c2e3eee202_c9a7cb60-932c-48e3-8eda-3d7f3d74bc91,Línea Café - Ida,0,SHAPE_84c89a53-1f66-5dd2-94d5-25c2e3eee202
ROUTE_TELEFERICO_CAFE,SERVICE_bb58aa4d-a954-4cfc-bb23-a7a82e05fc1a,TRIP_84c89a53-1f66-5dd2-94d5-25c2e3eee202_bb58aa4d-a954-4cfc-bb23-a7a82e05fc1a,Línea Café - Ida,0,SHAPE_84c89a53-1f66-5dd2-94d5-25c2e3eee202
ROUTE_TELEFERICO_CAFE,SERVICE_1be9d25b-79a7-4b00-9b2e-282f833f74bf,TRIP_84c89a53-1f66-5dd2-94d5-25c2e3eee202_1be9d25b-79a7-4b00-9b2e-282f833f74bf,Línea Café - Ida,0,SHAPE_84c89a53-1f66-5dd2-94d5-25c2e3eee202
ROUTE_TELEFERICO_CAFE,SERVICE_a57c3201-0a2e-4361-8c90-bb08f834a10e,TRIP_84c89a53-1f66-5dd2-94d5-25c2e3eee202_a57c3201-0a2e-4361-8c90-bb08f834a10e,Línea Café - Ida,0,SHAPE_84c89a53-1f66-5dd2-94d5-25c2e3eee202
ROUTE_TELEFERICO_CAFE,SERVICE_14c3670b-de2e-406d-a918-80d74cb8e758,TRIP_84c89a53-1f66-5dd2-94d5-25c2e3eee202_14c3670b-de2e-406d-a918-80d74cb8e758,Línea Café - Ida,0,SHAPE_84c89a53-1f66-5dd2-94d5-25c2e3eee202
ROUTE_TELEFERICO_CAFE,SERVICE_ea538c0e-4733-4887-b7a4-d3c2c2d88165,TRIP_56dde7c5-2a33-54eb-88aa-ed9759d5c8a4_ea538c0e-4733-4887-b7a4-d3c2c2d88165,Línea Café - Vuelta,1,SHAPE_56dde7c5-2a33-54eb-88aa-ed9759d5c8a4
ROUTE_TELEFERICO_CAFE,SERVICE_a3c8d3c3-bed1-45fc-af25-fe12104084c8,TRIP_56dde7c5-2a33-54eb-88aa-ed9759d5c8a4_a3c8d3c3-bed1-45fc-af25-fe12104084c8,Línea Café - Vuelta,1,SHAPE_56dde7c5-2a33-54eb-88aa-ed9759d5c8a4
